Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100uF 6.3V","C_1206_3216Metric",42.750000,4.250000,25.000000,top
"C2","1uF","C_0603_1608Metric",52.000000,40.750000,90.000000,top
"C3","0.1uF","C_0603_1608Metric",47.750000,40.750000,90.000000,top
"C4","0.1uF","C_0603_1608Metric",56.250000,40.750000,90.000000,top
"C5","1.0uF","C_0603_1608Metric",49.000000,9.000000,0.000000,top
"C6","2.2uF","C_0603_1608Metric",55.750000,21.250000,90.000000,top
"C7","1uF","C_0603_1608Metric",30.000000,57.000000,270.000000,top
"C8","0.1uF","C_0603_1608Metric",14.000000,35.250000,90.000000,top
"C9","0.1uF","C_0603_1608Metric",8.000000,20.000000,180.000000,top
"C10","10uF","C_0603_1608Metric",9.000000,18.000000,180.000000,top
"C11","10uF","C_0603_1608Metric",10.000000,16.000000,180.000000,top
"D1.1","LED","LED_0603_For_Blinky",42.650000,50.000000,0.000000,top
"D1.2","LED","LED_0603_For_Blinky",42.650000,47.333334,0.000000,top
"D1.3","LED","LED_0603_For_Blinky",42.650000,44.666668,0.000000,top
"D1.4","LED","LED_0603_For_Blinky",42.650000,42.000002,0.000000,top
"D1.5","LED","LED_0603_For_Blinky",42.650000,39.333336,0.000000,top
"D1.6","LED","LED_0603_For_Blinky",42.650000,36.666670,0.000000,top
"D1.7","LED","LED_0603_For_Blinky",42.650000,34.000004,0.000000,top
"D1.8","LED","LED_0603_For_Blinky",42.650000,31.333338,0.000000,top
"D1.9","LED","LED_0603_For_Blinky",42.650000,28.666672,0.000000,top
"D1.10","LED","LED_0603_For_Blinky",42.650000,26.000006,0.000000,top
"D1.11","LED","LED_0603_For_Blinky",42.650000,23.333340,0.000000,top
"D1.12","LED","LED_0603_For_Blinky",42.650000,20.666674,0.000000,top
"D1.13","LED","LED_0603_For_Blinky",42.650000,18.000008,0.000000,top
"D1.14","LED","LED_0603_For_Blinky",42.650000,15.333342,0.000000,top
"D1.15","LED","LED_0603_For_Blinky",42.650000,12.666676,0.000000,top
"D1.16","LED","LED_0603_For_Blinky",42.650000,10.000010,0.000000,top
"D2.1","LED","LED_0603_For_Blinky",39.980000,50.000000,0.000000,top
"D2.2","LED","LED_0603_For_Blinky",39.980000,47.333334,0.000000,top
"D2.3","LED","LED_0603_For_Blinky",39.980000,44.666668,0.000000,top
"D2.4","LED","LED_0603_For_Blinky",39.980000,42.000002,0.000000,top
"D2.5","LED","LED_0603_For_Blinky",39.980000,39.333336,0.000000,top
"D2.6","LED","LED_0603_For_Blinky",39.980000,36.666670,0.000000,top
"D2.7","LED","LED_0603_For_Blinky",39.980000,34.000004,0.000000,top
"D2.8","LED","LED_0603_For_Blinky",39.980000,31.333338,0.000000,top
"D2.9","LED","LED_0603_For_Blinky",39.980000,28.666672,0.000000,top
"D2.10","LED","LED_0603_For_Blinky",39.980000,26.000006,0.000000,top
"D2.11","LED","LED_0603_For_Blinky",39.980000,23.333340,0.000000,top
"D2.12","LED","LED_0603_For_Blinky",39.980000,20.666674,0.000000,top
"D2.13","LED","LED_0603_For_Blinky",39.980000,18.000008,0.000000,top
"D2.14","LED","LED_0603_For_Blinky",39.980000,15.333342,0.000000,top
"D2.15","LED","LED_0603_For_Blinky",39.980000,12.666676,0.000000,top
"D2.16","LED","LED_0603_For_Blinky",39.980000,10.000010,0.000000,top
"D3.1","LED","LED_0603_For_Blinky",37.310000,50.000000,0.000000,top
"D3.2","LED","LED_0603_For_Blinky",37.310000,47.333334,0.000000,top
"D3.3","LED","LED_0603_For_Blinky",37.310000,44.666668,0.000000,top
"D3.4","LED","LED_0603_For_Blinky",37.310000,42.000002,0.000000,top
"D3.5","LED","LED_0603_For_Blinky",37.310000,39.333336,0.000000,top
"D3.6","LED","LED_0603_For_Blinky",37.310000,36.666670,0.000000,top
"D3.7","LED","LED_0603_For_Blinky",37.310000,34.000004,0.000000,top
"D3.8","LED","LED_0603_For_Blinky",37.310000,31.333338,0.000000,top
"D3.9","LED","LED_0603_For_Blinky",37.310000,28.666672,0.000000,top
"D3.10","LED","LED_0603_For_Blinky",37.310000,26.000006,0.000000,top
"D3.11","LED","LED_0603_For_Blinky",37.310000,23.333340,0.000000,top
"D3.12","LED","LED_0603_For_Blinky",37.310000,20.666674,0.000000,top
"D3.13","LED","LED_0603_For_Blinky",37.310000,18.000008,0.000000,top
"D3.14","LED","LED_0603_For_Blinky",37.310000,15.333342,0.000000,top
"D3.15","LED","LED_0603_For_Blinky",37.310000,12.666676,0.000000,top
"D3.16","LED","LED_0603_For_Blinky",37.310000,10.000010,0.000000,top
"D4.1","LED","LED_0603_For_Blinky",34.650000,50.000000,0.000000,top
"D4.2","LED","LED_0603_For_Blinky",34.650000,47.333334,0.000000,top
"D4.3","LED","LED_0603_For_Blinky",34.650000,44.666668,0.000000,top
"D4.4","LED","LED_0603_For_Blinky",34.650000,42.000002,0.000000,top
"D4.5","LED","LED_0603_For_Blinky",34.650000,39.333336,0.000000,top
"D4.6","LED","LED_0603_For_Blinky",34.650000,36.666670,0.000000,top
"D4.7","LED","LED_0603_For_Blinky",34.650000,34.000004,0.000000,top
"D4.8","LED","LED_0603_For_Blinky",34.650000,31.333338,0.000000,top
"D4.9","LED","LED_0603_For_Blinky",34.650000,28.666672,0.000000,top
"D4.10","LED","LED_0603_For_Blinky",34.650000,26.000006,0.000000,top
"D4.11","LED","LED_0603_For_Blinky",34.650000,23.333340,0.000000,top
"D4.12","LED","LED_0603_For_Blinky",34.650000,20.666674,0.000000,top
"D4.13","LED","LED_0603_For_Blinky",34.650000,18.000008,0.000000,top
"D4.14","LED","LED_0603_For_Blinky",34.650000,15.333342,0.000000,top
"D4.15","LED","LED_0603_For_Blinky",34.650000,12.666676,0.000000,top
"D4.16","LED","LED_0603_For_Blinky",34.650000,10.000010,0.000000,top
"D5.1","LED","LED_0603_For_Blinky",31.980000,50.000000,0.000000,top
"D5.2","LED","LED_0603_For_Blinky",31.980000,47.333334,0.000000,top
"D5.3","LED","LED_0603_For_Blinky",31.980000,44.666668,0.000000,top
"D5.4","LED","LED_0603_For_Blinky",31.980000,42.000002,0.000000,top
"D5.5","LED","LED_0603_For_Blinky",31.980000,39.333336,0.000000,top
"D5.6","LED","LED_0603_For_Blinky",31.980000,36.666670,0.000000,top
"D5.7","LED","LED_0603_For_Blinky",31.980000,34.000004,0.000000,top
"D5.8","LED","LED_0603_For_Blinky",31.980000,31.333338,0.000000,top
"D5.9","LED","LED_0603_For_Blinky",31.980000,28.666672,0.000000,top
"D5.10","LED","LED_0603_For_Blinky",31.980000,26.000006,0.000000,top
"D5.11","LED","LED_0603_For_Blinky",31.980000,23.333340,0.000000,top
"D5.12","LED","LED_0603_For_Blinky",31.980000,20.666674,0.000000,top
"D5.13","LED","LED_0603_For_Blinky",31.980000,18.000008,0.000000,top
"D5.14","LED","LED_0603_For_Blinky",31.980000,15.333342,0.000000,top
"D5.15","LED","LED_0603_For_Blinky",31.980000,12.666676,0.000000,top
"D5.16","LED","LED_0603_For_Blinky",31.980000,10.000010,0.000000,top
"D6.1","LED","LED_0603_For_Blinky",29.310000,50.000000,0.000000,top
"D6.2","LED","LED_0603_For_Blinky",29.310000,47.333334,0.000000,top
"D6.3","LED","LED_0603_For_Blinky",29.310000,44.666668,0.000000,top
"D6.4","LED","LED_0603_For_Blinky",29.310000,42.000002,0.000000,top
"D6.5","LED","LED_0603_For_Blinky",29.310000,39.333336,0.000000,top
"D6.6","LED","LED_0603_For_Blinky",29.310000,36.666670,0.000000,top
"D6.7","LED","LED_0603_For_Blinky",29.310000,34.000004,0.000000,top
"D6.8","LED","LED_0603_For_Blinky",29.310000,31.333338,0.000000,top
"D6.9","LED","LED_0603_For_Blinky",29.310000,28.666672,0.000000,top
"D6.10","LED","LED_0603_For_Blinky",29.310000,26.000006,0.000000,top
"D6.11","LED","LED_0603_For_Blinky",29.310000,23.333340,0.000000,top
"D6.12","LED","LED_0603_For_Blinky",29.310000,20.666674,0.000000,top
"D6.13","LED","LED_0603_For_Blinky",29.310000,18.000008,0.000000,top
"D6.14","LED","LED_0603_For_Blinky",29.310000,15.333342,0.000000,top
"D6.15","LED","LED_0603_For_Blinky",29.310000,12.666676,0.000000,top
"D6.16","LED","LED_0603_For_Blinky",29.310000,10.000010,0.000000,top
"D7.1","LED","LED_0603_For_Blinky",26.650000,50.000000,0.000000,top
"D7.2","LED","LED_0603_For_Blinky",26.650000,47.333334,0.000000,top
"D7.3","LED","LED_0603_For_Blinky",26.650000,44.666668,0.000000,top
"D7.4","LED","LED_0603_For_Blinky",26.650000,42.000002,0.000000,top
"D7.5","LED","LED_0603_For_Blinky",26.650000,39.333336,0.000000,top
"D7.6","LED","LED_0603_For_Blinky",26.650000,36.666670,0.000000,top
"D7.7","LED","LED_0603_For_Blinky",26.650000,34.000004,0.000000,top
"D7.8","LED","LED_0603_For_Blinky",26.650000,31.333338,0.000000,top
"D7.9","LED","LED_0603_For_Blinky",26.650000,28.666672,0.000000,top
"D7.10","LED","LED_0603_For_Blinky",26.650000,26.000006,0.000000,top
"D7.11","LED","LED_0603_For_Blinky",26.650000,23.333340,0.000000,top
"D7.12","LED","LED_0603_For_Blinky",26.650000,20.666674,0.000000,top
"D7.13","LED","LED_0603_For_Blinky",26.650000,18.000008,0.000000,top
"D7.14","LED","LED_0603_For_Blinky",26.650000,15.333342,0.000000,top
"D7.15","LED","LED_0603_For_Blinky",26.650000,12.666676,0.000000,top
"D7.16","LED","LED_0603_For_Blinky",26.650000,10.000010,0.000000,top
"D8.1","LED","LED_0603_For_Blinky",23.980000,50.000000,0.000000,top
"D8.2","LED","LED_0603_For_Blinky",23.980000,47.333334,0.000000,top
"D8.3","LED","LED_0603_For_Blinky",23.980000,44.666668,0.000000,top
"D8.4","LED","LED_0603_For_Blinky",23.980000,42.000002,0.000000,top
"D8.5","LED","LED_0603_For_Blinky",23.980000,39.333336,0.000000,top
"D8.6","LED","LED_0603_For_Blinky",23.980000,36.666670,0.000000,top
"D8.7","LED","LED_0603_For_Blinky",23.980000,34.000004,0.000000,top
"D8.8","LED","LED_0603_For_Blinky",23.980000,31.333338,0.000000,top
"D8.9","LED","LED_0603_For_Blinky",23.980000,28.666672,0.000000,top
"D8.10","LED","LED_0603_For_Blinky",23.980000,26.000006,0.000000,top
"D8.11","LED","LED_0603_For_Blinky",23.980000,23.333340,0.000000,top
"D8.12","LED","LED_0603_For_Blinky",23.980000,20.666674,0.000000,top
"D8.13","LED","LED_0603_For_Blinky",23.980000,18.000008,0.000000,top
"D8.14","LED","LED_0603_For_Blinky",23.980000,15.333342,0.000000,top
"D8.15","LED","LED_0603_For_Blinky",23.980000,12.666676,0.000000,top
"D8.16","LED","LED_0603_For_Blinky",23.980000,10.000010,0.000000,top
"D9.1","LED","LED_0603_For_Blinky",21.310000,50.000000,0.000000,top
"D9.2","LED","LED_0603_For_Blinky",21.310000,47.333334,0.000000,top
"D9.3","LED","LED_0603_For_Blinky",21.310000,44.666668,0.000000,top
"D9.4","LED","LED_0603_For_Blinky",21.310000,42.000002,0.000000,top
"D9.5","LED","LED_0603_For_Blinky",21.310000,39.333336,0.000000,top
"D9.6","LED","LED_0603_For_Blinky",21.310000,36.666670,0.000000,top
"D9.7","LED","LED_0603_For_Blinky",21.310000,34.000004,0.000000,top
"D9.8","LED","LED_0603_For_Blinky",21.310000,31.333338,0.000000,top
"D9.9","LED","LED_0603_For_Blinky",21.310000,28.666672,0.000000,top
"D9.10","LED","LED_0603_For_Blinky",21.310000,26.000006,0.000000,top
"D9.11","LED","LED_0603_For_Blinky",21.310000,23.333340,0.000000,top
"D9.12","LED","LED_0603_For_Blinky",21.310000,20.666674,0.000000,top
"D9.13","LED","LED_0603_For_Blinky",21.310000,18.000008,0.000000,top
"D9.14","LED","LED_0603_For_Blinky",21.310000,15.333342,0.000000,top
"D9.15","LED","LED_0603_For_Blinky",21.310000,12.666676,0.000000,top
"D9.16","LED","LED_0603_For_Blinky",21.310000,10.000010,0.000000,top
"D145","IR LED","LED_0805_2012Metric",35.000000,68.000000,0.000000,top
"FID1","Fiducial","Fiducial_1mm_Mask2mm",2.500000,27.000000,0.000000,top
"FID2","Fiducial","Fiducial_1mm_Mask2mm",61.500000,32.000000,0.000000,top
"FID3","Fiducial","Fiducial_1mm_Mask2mm",61.500000,14.000000,0.000000,top
"R1","10k立","R_0603_1608Metric",52.000000,48.000000,0.000000,top
"R2","330立","R_0603_1608Metric",54.000000,44.000000,0.000000,top
"R3","47立","R_0603_1608Metric",32.000000,57.000000,90.000000,top
"R4","470立","R_0603_1608Metric",34.000000,57.000000,90.000000,top
"R5","20K","R_0603_1608Metric",14.000000,10.000000,180.000000,top
"R6","20K","R_0603_1608Metric",11.000000,14.000000,180.000000,top
"R7","20K","R_0603_1608Metric",12.425000,12.000000,0.000000,top
"R8","20K","R_0603_1608Metric",8.000000,35.250000,270.000000,top
"R9","20K","R_0603_1608Metric",10.000000,35.250000,270.000000,top
"R10","20K","R_0603_1608Metric",12.000000,35.250000,90.000000,top
"U4","IS31FL3731-SALS2","SSOP-28_5.3x10.2mm_P0.65mm",12.000000,27.000000,90.000000,top
"BT1","CR2032","BatteryHolder_Keystone_3034_Minimum_Pad",46.600000,31.400000,90.000000,bottom
"BT2","CR2032","BatteryHolder_Keystone_3034_Minimum_Pad",17.400000,31.400000,270.000000,bottom

