Designator,Mid X,Mid Y,Layer,Rotation
C1,44.75,4.25,Top,25
C2,54,40.75,Top,90
C3,49.75,40.75,Top,90
C4,58.25,40.75,Top,90
C5,51,9,Top,0
C6,57.75,21.25,Top,90
C7,32,57,Top,270
C8,16,35.25,Top,90
C9,10,20,Top,180
C10,11,18,Top,180
C11,12,16,Top,180
D1.1,44.65,50,Top,0
D1.2,44.65,47.333334,Top,0
D1.3,44.65,44.666668,Top,0
D1.4,44.65,42.000002,Top,0
D1.5,44.65,39.333336,Top,0
D1.6,44.65,36.66667,Top,0
D1.7,44.65,34.000004,Top,0
D1.8,44.65,31.333338,Top,0
D1.9,44.65,28.666672,Top,0
D1.10,44.65,26.000006,Top,0
D1.11,44.65,23.33334,Top,0
D1.12,44.65,20.666674,Top,0
D1.13,44.65,18.000008,Top,0
D1.14,44.65,15.333342,Top,0
D1.15,44.65,12.666676,Top,0
D1.16,44.65,10.00001,Top,0
D2.1,41.98,50,Top,0
D2.2,41.98,47.333334,Top,0
D2.3,41.98,44.666668,Top,0
D2.4,41.98,42.000002,Top,0
D2.5,41.98,39.333336,Top,0
D2.6,41.98,36.66667,Top,0
D2.7,41.98,34.000004,Top,0
D2.8,41.98,31.333338,Top,0
D2.9,41.98,28.666672,Top,0
D2.10,41.98,26.000006,Top,0
D2.11,41.98,23.33334,Top,0
D2.12,41.98,20.666674,Top,0
D2.13,41.98,18.000008,Top,0
D2.14,41.98,15.333342,Top,0
D2.15,41.98,12.666676,Top,0
D2.16,41.98,10.00001,Top,0
D3.1,39.31,50,Top,0
D3.2,39.31,47.333334,Top,0
D3.3,39.31,44.666668,Top,0
D3.4,39.31,42.000002,Top,0
D3.5,39.31,39.333336,Top,0
D3.6,39.31,36.66667,Top,0
D3.7,39.31,34.000004,Top,0
D3.8,39.31,31.333338,Top,0
D3.9,39.31,28.666672,Top,0
D3.10,39.31,26.000006,Top,0
D3.11,39.31,23.33334,Top,0
D3.12,39.31,20.666674,Top,0
D3.13,39.31,18.000008,Top,0
D3.14,39.31,15.333342,Top,0
D3.15,39.31,12.666676,Top,0
D3.16,39.31,10.00001,Top,0
D4.1,36.65,50,Top,0
D4.2,36.65,47.333334,Top,0
D4.3,36.65,44.666668,Top,0
D4.4,36.65,42.000002,Top,0
D4.5,36.65,39.333336,Top,0
D4.6,36.65,36.66667,Top,0
D4.7,36.65,34.000004,Top,0
D4.8,36.65,31.333338,Top,0
D4.9,36.65,28.666672,Top,0
D4.10,36.65,26.000006,Top,0
D4.11,36.65,23.33334,Top,0
D4.12,36.65,20.666674,Top,0
D4.13,36.65,18.000008,Top,0
D4.14,36.65,15.333342,Top,0
D4.15,36.65,12.666676,Top,0
D4.16,36.65,10.00001,Top,0
D5.1,33.98,50,Top,0
D5.2,33.98,47.333334,Top,0
D5.3,33.98,44.666668,Top,0
D5.4,33.98,42.000002,Top,0
D5.5,33.98,39.333336,Top,0
D5.6,33.98,36.66667,Top,0
D5.7,33.98,34.000004,Top,0
D5.8,33.98,31.333338,Top,0
D5.9,33.98,28.666672,Top,0
D5.10,33.98,26.000006,Top,0
D5.11,33.98,23.33334,Top,0
D5.12,33.98,20.666674,Top,0
D5.13,33.98,18.000008,Top,0
D5.14,33.98,15.333342,Top,0
D5.15,33.98,12.666676,Top,0
D5.16,33.98,10.00001,Top,0
D6.1,31.31,50,Top,0
D6.2,31.31,47.333334,Top,0
D6.3,31.31,44.666668,Top,0
D6.4,31.31,42.000002,Top,0
D6.5,31.31,39.333336,Top,0
D6.6,31.31,36.66667,Top,0
D6.7,31.31,34.000004,Top,0
D6.8,31.31,31.333338,Top,0
D6.9,31.31,28.666672,Top,0
D6.10,31.31,26.000006,Top,0
D6.11,31.31,23.33334,Top,0
D6.12,31.31,20.666674,Top,0
D6.13,31.31,18.000008,Top,0
D6.14,31.31,15.333342,Top,0
D6.15,31.31,12.666676,Top,0
D6.16,31.31,10.00001,Top,0
D7.1,28.65,50,Top,0
D7.2,28.65,47.333334,Top,0
D7.3,28.65,44.666668,Top,0
D7.4,28.65,42.000002,Top,0
D7.5,28.65,39.333336,Top,0
D7.6,28.65,36.66667,Top,0
D7.7,28.65,34.000004,Top,0
D7.8,28.65,31.333338,Top,0
D7.9,28.65,28.666672,Top,0
D7.10,28.65,26.000006,Top,0
D7.11,28.65,23.33334,Top,0
D7.12,28.65,20.666674,Top,0
D7.13,28.65,18.000008,Top,0
D7.14,28.65,15.333342,Top,0
D7.15,28.65,12.666676,Top,0
D7.16,28.65,10.00001,Top,0
D8.1,25.98,50,Top,0
D8.2,25.98,47.333334,Top,0
D8.3,25.98,44.666668,Top,0
D8.4,25.98,42.000002,Top,0
D8.5,25.98,39.333336,Top,0
D8.6,25.98,36.66667,Top,0
D8.7,25.98,34.000004,Top,0
D8.8,25.98,31.333338,Top,0
D8.9,25.98,28.666672,Top,0
D8.10,25.98,26.000006,Top,0
D8.11,25.98,23.33334,Top,0
D8.12,25.98,20.666674,Top,0
D8.13,25.98,18.000008,Top,0
D8.14,25.98,15.333342,Top,0
D8.15,25.98,12.666676,Top,0
D8.16,25.98,10.00001,Top,0
D9.1,23.31,50,Top,0
D9.2,23.31,47.333334,Top,0
D9.3,23.31,44.666668,Top,0
D9.4,23.31,42.000002,Top,0
D9.5,23.31,39.333336,Top,0
D9.6,23.31,36.66667,Top,0
D9.7,23.31,34.000004,Top,0
D9.8,23.31,31.333338,Top,0
D9.9,23.31,28.666672,Top,0
D9.10,23.31,26.000006,Top,0
D9.11,23.31,23.33334,Top,0
D9.12,23.31,20.666674,Top,0
D9.13,23.31,18.000008,Top,0
D9.14,23.31,15.333342,Top,0
D9.15,23.31,12.666676,Top,0
D9.16,23.31,10.00001,Top,0
D145,37,68,Top,0
FID1,2.5,27,Top,0
FID2,65.5,32,Top,0
FID3,65.5,14,Top,0
R1,54,48,Top,0
R2,56,44,Top,0
R3,34,57,Top,90
R4,36,57,Top,90
R5,16,10,Top,180
R6,13,14,Top,180
R7,14.425,12,Top,0
R8,10,35.25,Top,270
R9,12,35.25,Top,270
R10,14,35.25,Top,90
U4,14,27,Top,90