Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1.1,LED,LED_0603_For_Blinky,23.45,43.48499,45,top
D1.2,LED,LED_0603_For_Blinky,23.45,40.818324,45,top
D1.3,LED,LED_0603_For_Blinky,23.45,38.151658,45,top
D1.4,LED,LED_0603_For_Blinky,23.45,35.484992,45,top
D1.5,LED,LED_0603_For_Blinky,23.45,32.818326,45,top
D1.6,LED,LED_0603_For_Blinky,23.45,30.15166,45,top
D1.7,LED,LED_0603_For_Blinky,23.45,27.484994,45,top
D1.8,LED,LED_0603_For_Blinky,23.45,24.818328,45,top
D1.9,LED,LED_0603_For_Blinky,23.45,22.151662,45,top
D1.10,LED,LED_0603_For_Blinky,23.45,19.484996,45,top
D1.11,LED,LED_0603_For_Blinky,23.45,16.81833,45,top
D1.12,LED,LED_0603_For_Blinky,23.45,14.151664,45,top
D1.13,LED,LED_0603_For_Blinky,23.45,11.484998,45,top
D1.14,LED,LED_0603_For_Blinky,23.45,8.818332,45,top
D1.15,LED,LED_0603_For_Blinky,23.45,6.151666,45,top
D1.16,LED,LED_0603_For_Blinky,23.45,3.485,45,top
D2.1,LED,LED_0603_For_Blinky,20.78,43.48499,45,top
D2.2,LED,LED_0603_For_Blinky,20.78,40.818324,45,top
D2.3,LED,LED_0603_For_Blinky,20.78,38.151658,45,top
D2.4,LED,LED_0603_For_Blinky,20.78,35.484992,45,top
D2.5,LED,LED_0603_For_Blinky,20.78,32.818326,45,top
D2.6,LED,LED_0603_For_Blinky,20.78,30.15166,45,top
D2.7,LED,LED_0603_For_Blinky,20.78,27.484994,45,top
D2.8,LED,LED_0603_For_Blinky,20.78,24.818328,45,top
D2.9,LED,LED_0603_For_Blinky,20.78,22.151662,45,top
D2.10,LED,LED_0603_For_Blinky,20.78,19.484996,45,top
D2.11,LED,LED_0603_For_Blinky,20.78,16.81833,45,top
D2.12,LED,LED_0603_For_Blinky,20.78,14.151664,45,top
D2.13,LED,LED_0603_For_Blinky,20.78,11.484998,45,top
D2.14,LED,LED_0603_For_Blinky,20.78,8.818332,45,top
D2.15,LED,LED_0603_For_Blinky,20.78,6.151666,45,top
D2.16,LED,LED_0603_For_Blinky,20.78,3.485,45,top
D3.1,LED,LED_0603_For_Blinky,18.11,43.48499,45,top
D3.2,LED,LED_0603_For_Blinky,18.11,40.818324,45,top
D3.3,LED,LED_0603_For_Blinky,18.11,38.151658,45,top
D3.4,LED,LED_0603_For_Blinky,18.11,35.484992,45,top
D3.5,LED,LED_0603_For_Blinky,18.11,32.818326,45,top
D3.6,LED,LED_0603_For_Blinky,18.11,30.15166,45,top
D3.7,LED,LED_0603_For_Blinky,18.11,27.484994,45,top
D3.8,LED,LED_0603_For_Blinky,18.11,24.818328,45,top
D3.9,LED,LED_0603_For_Blinky,18.11,22.151662,45,top
D3.10,LED,LED_0603_For_Blinky,18.11,19.484996,45,top
D3.11,LED,LED_0603_For_Blinky,18.11,16.81833,45,top
D3.12,LED,LED_0603_For_Blinky,18.11,14.151664,45,top
D3.13,LED,LED_0603_For_Blinky,18.11,11.484998,45,top
D3.14,LED,LED_0603_For_Blinky,18.11,8.818332,45,top
D3.15,LED,LED_0603_For_Blinky,18.11,6.151666,45,top
D3.16,LED,LED_0603_For_Blinky,18.11,3.485,45,top
D4.1,LED,LED_0603_For_Blinky,15.45,43.48499,45,top
D4.2,LED,LED_0603_For_Blinky,15.45,40.818324,45,top
D4.3,LED,LED_0603_For_Blinky,15.45,38.151658,45,top
D4.4,LED,LED_0603_For_Blinky,15.45,35.484992,45,top
D4.5,LED,LED_0603_For_Blinky,15.45,32.818326,45,top
D4.6,LED,LED_0603_For_Blinky,15.45,30.15166,45,top
D4.7,LED,LED_0603_For_Blinky,15.45,27.484994,45,top
D4.8,LED,LED_0603_For_Blinky,15.45,24.818328,45,top
D4.9,LED,LED_0603_For_Blinky,15.45,22.151662,45,top
D4.10,LED,LED_0603_For_Blinky,15.45,19.484996,45,top
D4.11,LED,LED_0603_For_Blinky,15.45,16.81833,45,top
D4.12,LED,LED_0603_For_Blinky,15.45,14.151664,45,top
D4.13,LED,LED_0603_For_Blinky,15.45,11.484998,45,top
D4.14,LED,LED_0603_For_Blinky,15.45,8.818332,45,top
D4.15,LED,LED_0603_For_Blinky,15.45,6.151666,45,top
D4.16,LED,LED_0603_For_Blinky,15.45,3.485,45,top
D5.1,LED,LED_0603_For_Blinky,12.78,43.48499,45,top
D5.2,LED,LED_0603_For_Blinky,12.78,40.818324,45,top
D5.3,LED,LED_0603_For_Blinky,12.78,38.151658,45,top
D5.4,LED,LED_0603_For_Blinky,12.78,35.484992,45,top
D5.5,LED,LED_0603_For_Blinky,12.78,32.818326,45,top
D5.6,LED,LED_0603_For_Blinky,12.78,30.15166,45,top
D5.7,LED,LED_0603_For_Blinky,12.78,27.484994,45,top
D5.8,LED,LED_0603_For_Blinky,12.78,24.818328,45,top
D5.9,LED,LED_0603_For_Blinky,12.78,22.151662,45,top
D5.10,LED,LED_0603_For_Blinky,12.78,19.484996,45,top
D5.11,LED,LED_0603_For_Blinky,12.78,16.81833,45,top
D5.12,LED,LED_0603_For_Blinky,12.78,14.151664,45,top
D5.13,LED,LED_0603_For_Blinky,12.78,11.484998,45,top
D5.14,LED,LED_0603_For_Blinky,12.78,8.818332,45,top
D5.15,LED,LED_0603_For_Blinky,12.78,6.151666,45,top
D5.16,LED,LED_0603_For_Blinky,12.78,3.485,45,top
D6.1,LED,LED_0603_For_Blinky,10.11,43.48499,45,top
D6.2,LED,LED_0603_For_Blinky,10.11,40.818324,45,top
D6.3,LED,LED_0603_For_Blinky,10.11,38.151658,45,top
D6.4,LED,LED_0603_For_Blinky,10.11,35.484992,45,top
D6.5,LED,LED_0603_For_Blinky,10.11,32.818326,45,top
D6.6,LED,LED_0603_For_Blinky,10.11,30.15166,45,top
D6.7,LED,LED_0603_For_Blinky,10.11,27.484994,45,top
D6.8,LED,LED_0603_For_Blinky,10.11,24.818328,45,top
D6.9,LED,LED_0603_For_Blinky,10.11,22.151662,45,top
D6.10,LED,LED_0603_For_Blinky,10.11,19.484996,45,top
D6.11,LED,LED_0603_For_Blinky,10.11,16.81833,45,top
D6.12,LED,LED_0603_For_Blinky,10.11,14.151664,45,top
D6.13,LED,LED_0603_For_Blinky,10.11,11.484998,45,top
D6.14,LED,LED_0603_For_Blinky,10.11,8.818332,45,top
D6.15,LED,LED_0603_For_Blinky,10.11,6.151666,45,top
D6.16,LED,LED_0603_For_Blinky,10.11,3.485,45,top
D7.1,LED,LED_0603_For_Blinky,7.45,43.48499,45,top
D7.2,LED,LED_0603_For_Blinky,7.45,40.818324,45,top
D7.3,LED,LED_0603_For_Blinky,7.45,38.151658,45,top
D7.4,LED,LED_0603_For_Blinky,7.45,35.484992,45,top
D7.5,LED,LED_0603_For_Blinky,7.45,32.818326,45,top
D7.6,LED,LED_0603_For_Blinky,7.45,30.15166,45,top
D7.7,LED,LED_0603_For_Blinky,7.45,27.484994,45,top
D7.8,LED,LED_0603_For_Blinky,7.45,24.818328,45,top
D7.9,LED,LED_0603_For_Blinky,7.45,22.151662,45,top
D7.10,LED,LED_0603_For_Blinky,7.45,19.484996,45,top
D7.11,LED,LED_0603_For_Blinky,7.45,16.81833,45,top
D7.12,LED,LED_0603_For_Blinky,7.45,14.151664,45,top
D7.13,LED,LED_0603_For_Blinky,7.45,11.484998,45,top
D7.14,LED,LED_0603_For_Blinky,7.45,8.818332,45,top
D7.15,LED,LED_0603_For_Blinky,7.45,6.151666,45,top
D7.16,LED,LED_0603_For_Blinky,7.45,3.485,45,top
D8.1,LED,LED_0603_For_Blinky,4.78,43.48499,45,top
D8.2,LED,LED_0603_For_Blinky,4.78,40.818324,45,top
D8.3,LED,LED_0603_For_Blinky,4.78,38.151658,45,top
D8.4,LED,LED_0603_For_Blinky,4.78,35.484992,45,top
D8.5,LED,LED_0603_For_Blinky,4.78,32.818326,45,top
D8.6,LED,LED_0603_For_Blinky,4.78,30.15166,45,top
D8.7,LED,LED_0603_For_Blinky,4.78,27.484994,45,top
D8.8,LED,LED_0603_For_Blinky,4.78,24.818328,45,top
D8.9,LED,LED_0603_For_Blinky,4.78,22.151662,45,top
D8.10,LED,LED_0603_For_Blinky,4.78,19.484996,45,top
D8.11,LED,LED_0603_For_Blinky,4.78,16.81833,45,top
D8.12,LED,LED_0603_For_Blinky,4.78,14.151664,45,top
D8.13,LED,LED_0603_For_Blinky,4.78,11.484998,45,top
D8.14,LED,LED_0603_For_Blinky,4.78,8.818332,45,top
D8.15,LED,LED_0603_For_Blinky,4.78,6.151666,45,top
D8.16,LED,LED_0603_For_Blinky,4.78,3.485,45,top
D9.1,LED,LED_0603_For_Blinky,2.11,43.48499,45,top
D9.2,LED,LED_0603_For_Blinky,2.11,40.818324,45,top
D9.3,LED,LED_0603_For_Blinky,2.11,38.151658,45,top
D9.4,LED,LED_0603_For_Blinky,2.11,35.484992,45,top
D9.5,LED,LED_0603_For_Blinky,2.11,32.818326,45,top
D9.6,LED,LED_0603_For_Blinky,2.11,30.15166,45,top
D9.7,LED,LED_0603_For_Blinky,2.11,27.484994,45,top
D9.8,LED,LED_0603_For_Blinky,2.11,24.818328,45,top
D9.9,LED,LED_0603_For_Blinky,2.11,22.151662,45,top
D9.10,LED,LED_0603_For_Blinky,2.11,19.484996,45,top
D9.11,LED,LED_0603_For_Blinky,2.11,16.81833,45,top
D9.12,LED,LED_0603_For_Blinky,2.11,14.151664,45,top
D9.13,LED,LED_0603_For_Blinky,2.11,11.484998,45,top
D9.14,LED,LED_0603_For_Blinky,2.11,8.818332,45,top
D9.15,LED,LED_0603_For_Blinky,2.11,6.151666,45,top
D9.16,LED,LED_0603_For_Blinky,2.11,3.485,45,top